# emapper version: emapper-2.0.1 emapper DB: 2.0
# command: ./emapper.py  -i GCF_000963815.1_ASM96381v1_protein.faa --output GCF_000963815.1_ASM96381v1_protein.faa.eggnog -m diamond --target_orthologs all --cpu 14
# time: Tue Jun 16 14:05:02 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
WP_000004354.1	470.IX87_06805	2.6e-152	544.7	Moraxellaceae	ydiA	GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0030234,GO:0044424,GO:0044444,GO:0044464,GO:0050790,GO:0065007,GO:0065009,GO:0098772	2.7.11.33,2.7.4.28	ko:K09773					ko00000,ko01000				Bacteria	1MUHU@1224,1RPHX@1236,3NIIN@468,COG1806@1,COG1806@2	NA|NA|NA	H	Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the phosphoenolpyruvate synthase (PEPS) by catalyzing its phosphorylation dephosphorylation
WP_000004363.1	520709.F985_01907	1.8e-13	81.6	Moraxellaceae													Bacteria	1QQBM@1224,1RSYX@1236,2B0DQ@1,31SR0@2,3NRYU@468	NA|NA|NA		
WP_000004552.1	520709.F985_01907	2.4e-36	157.5	Moraxellaceae													Bacteria	1QQBM@1224,1RSYX@1236,2B0DQ@1,31SR0@2,3NRYU@468	NA|NA|NA		
WP_000004974.1	470.IX87_11070	6.9e-278	962.6	Moraxellaceae	lysP	GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015171,GO:0015318,GO:0015711,GO:0015849,GO:0016020,GO:0016021,GO:0016043,GO:0022607,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042802,GO:0043933,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0046982,GO:0046983,GO:0051179,GO:0051234,GO:0051259,GO:0051260,GO:0055085,GO:0065003,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0098656,GO:1903825,GO:1905039		ko:K03293,ko:K11733,ko:K16235					ko00000,ko02000	2.A.3.1,2.A.3.1.10,2.A.3.1.2		iSBO_1134.SBO_2171,iYL1228.KPN_02594	Bacteria	1QTSM@1224,1RNI2@1236,3NKFB@468,COG0833@1,COG0833@2	NA|NA|NA	E	Amino acid permease
WP_000005344.1	470.IX87_18995	2.8e-114	417.9	Moraxellaceae													Bacteria	1NM8E@1224,1SHZ9@1236,2ENBG@1,33FZ3@2,3NK14@468	NA|NA|NA		
WP_000005613.1	1217712.F971_01801	3.3e-275	953.7	Moraxellaceae	feaB		1.2.1.39	ko:K00146	ko00360,ko00643,ko01100,ko01120,map00360,map00643,map01100,map01120		R02536	RC00080	ko00000,ko00001,ko01000				Bacteria	1MU1V@1224,1RMBQ@1236,3NIN2@468,COG1012@1,COG1012@2	NA|NA|NA	C	Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid
WP_000005666.1	470.IX87_05740	2.7e-230	804.3	Moraxellaceae	visC	GO:0003674,GO:0003824,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016491,GO:0019168,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:1901576,GO:1901661,GO:1901663		ko:K03184,ko:K03185,ko:K18800	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00117	R04987,R04989,R06146,R08768,R08773,R08775	RC00046,RC01254,RC02670	ko00000,ko00001,ko00002,ko01000				Bacteria	1MU6I@1224,1RND5@1236,3NIR6@468,COG0654@1,COG0654@2	NA|NA|NA	CH	Squalene epoxidase
WP_000006591.1	470.IX87_19105	1e-38	166.0	Moraxellaceae													Bacteria	1QP8C@1224,1TMXM@1236,2AZH7@1,31RRA@2,3NPMT@468	NA|NA|NA		
WP_000006665.1	470.IX87_17715	2.2e-104	384.8	Moraxellaceae	nudC_1												Bacteria	1REBW@1224,1S3XB@1236,3NJ77@468,COG1051@1,COG1051@2	NA|NA|NA	F	Nudix N-terminal
WP_000006958.1	470.IX87_11520	1.6e-230	805.1	Moraxellaceae	coaBC	GO:0000166,GO:0003674,GO:0003824,GO:0004632,GO:0004633,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0010181,GO:0015936,GO:0015937,GO:0016829,GO:0016830,GO:0016831,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0032553,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	4.1.1.36,6.3.2.5	ko:K01598,ko:K13038	ko00770,ko01100,map00770,map01100	M00120	R03269,R04231	RC00064,RC00090,RC00822	ko00000,ko00001,ko00002,ko01000			iEC042_1314.EC042_3945,iECUMN_1333.ECUMN_4154,iJN746.PP_5285,iSBO_1134.SBO_3641	Bacteria	1MVQP@1224,1RMKQ@1236,3NJ8G@468,COG0452@1,COG0452@2	NA|NA|NA	H	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine
WP_000007331.1	470.IX87_16460	6.7e-195	686.4	Moraxellaceae	hemH	GO:0003674,GO:0003824,GO:0004325,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009314,GO:0009416,GO:0009628,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0050896,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000			iAPECO1_1312.APECO1_1540,iECS88_1305.ECS88_0472,iEcE24377_1341.EcE24377A_0515	Bacteria	1MVR1@1224,1RMMS@1236,3NJ4U@468,COG0276@1,COG0276@2	NA|NA|NA	H	Catalyzes the ferrous insertion into protoporphyrin IX
WP_000007407.1	470.IX87_11905	5.5e-124	450.3	Moraxellaceae				ko:K07078					ko00000				Bacteria	1PG88@1224,1RP63@1236,3NIPQ@468,COG3560@1,COG3560@2	NA|NA|NA	S	Nitroreductase family
WP_000007423.1	470.IX87_18515	1.2e-233	815.5	Moraxellaceae	hemA	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0006082,GO:0006520,GO:0006536,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0008883,GO:0009058,GO:0009064,GO:0009288,GO:0009987,GO:0016491,GO:0016620,GO:0016903,GO:0018130,GO:0019353,GO:0019438,GO:0019752,GO:0033013,GO:0033014,GO:0033526,GO:0034641,GO:0042168,GO:0042440,GO:0042597,GO:0042802,GO:0042995,GO:0043226,GO:0043228,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0055040,GO:0055114,GO:0071704,GO:0140098,GO:0140101,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	1.2.1.70	ko:K02407,ko:K02492	ko00860,ko01100,ko01110,ko01120,ko02040,map00860,map01100,map01110,map01120,map02040	M00121	R04109	RC00055,RC00149	ko00000,ko00001,ko00002,ko01000,ko02035			iECNA114_1301.ECNA114_1375,iECSF_1327.ECSF_1186,iSB619.SA_RS08420,iUTI89_1310.UTI89_C1404	Bacteria	1MU41@1224,1RNQ8@1236,3NJ4K@468,COG0373@1,COG0373@2	NA|NA|NA	H	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA)
WP_000008105.1	871585.BDGL_000551	1.3e-76	292.4	Moraxellaceae													Bacteria	1QNTD@1224,1TMEY@1236,2AZ31@1,31R9B@2,3NN4G@468	NA|NA|NA		
WP_000008496.1	470.IX87_04890	1.4e-63	248.8	Moraxellaceae													Bacteria	1NYP7@1224,1SQQI@1236,2DWZ2@1,342MC@2,3NNQY@468	NA|NA|NA		
WP_000008520.1	470.IX87_05655	1.4e-181	642.1	Moraxellaceae	yejE	GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006857,GO:0008150,GO:0015833,GO:0015893,GO:0016020,GO:0035672,GO:0042221,GO:0042493,GO:0042884,GO:0042886,GO:0042891,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944		ko:K02034,ko:K13895	ko02010,ko02024,map02010,map02024	M00239,M00349			ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.21,3.A.1.5.24			Bacteria	1MUM5@1224,1RNUH@1236,3NJ2M@468,COG4239@1,COG4239@2	NA|NA|NA	P	Binding-protein-dependent transport system inner membrane component
WP_000008538.1	470.IX87_17265	0.0	1075.5	Moraxellaceae	prfC	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0003824,GO:0003924,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016150,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019538,GO:0022411,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032984,GO:0034641,GO:0034645,GO:0036094,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576		ko:K02837					ko00000,ko03012				Bacteria	1MU7X@1224,1RMFT@1236,3NJ7Y@468,COG4108@1,COG4108@2	NA|NA|NA	J	Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP
WP_000008925.1	649747.HMPREF0083_04835	7.6e-20	105.1	Paenibacillaceae	wzx												Bacteria	1UXZ7@1239,26UU2@186822,4HGGI@91061,COG2244@1,COG2244@2	NA|NA|NA	S	Polysaccharide biosynthesis protein
WP_000008979.1	470.IX87_16395	0.0	1152.9	Moraxellaceae	kefC			ko:K03455,ko:K11745,ko:K11747					ko00000,ko02000	2.A.37,2.A.37.1.1,2.A.37.1.2			Bacteria	1MV34@1224,1RNVR@1236,3NKJE@468,COG0475@1,COG0475@2,COG1226@1,COG1226@2	NA|NA|NA	P	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family
WP_000009638.1	470.IX87_16960	1.7e-215	755.0	Moraxellaceae	metX	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004414,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008374,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009092,GO:0009987,GO:0016053,GO:0016407,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.3.1.31	ko:K00641	ko00270,ko01100,ko01130,map00270,map01100,map01130		R01776	RC00004,RC00041	ko00000,ko00001,ko01000				Bacteria	1MVJV@1224,1RQ2N@1236,3NK6R@468,COG2021@1,COG2021@2	NA|NA|NA	E	Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine
WP_000009660.1	470.IX87_06520	2.2e-90	338.2	Moraxellaceae	ppiB	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0140096,GO:1901564	2.7.11.1,5.2.1.8	ko:K03767,ko:K03768,ko:K08884	ko01503,ko04217,map01503,map04217				ko00000,ko00001,ko01000,ko01001,ko03110,ko04147				Bacteria	1R9ZQ@1224,1S222@1236,3NKAW@468,COG0652@1,COG0652@2	NA|NA|NA	G	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
WP_000009973.1	871585.BDGL_000232	2.2e-145	521.5	Moraxellaceae													Bacteria	1NBB6@1224,1RNGB@1236,3NJHF@468,COG1028@1,COG1028@2	NA|NA|NA	IQ	Enoyl-(Acyl carrier protein) reductase
WP_000010375.1	470.IX87_07610	2.2e-117	428.3	Moraxellaceae	hisQ	GO:0003333,GO:0003674,GO:0005215,GO:0005287,GO:0005290,GO:0005291,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015174,GO:0015179,GO:0015238,GO:0015318,GO:0015711,GO:0015802,GO:0015807,GO:0015849,GO:0015893,GO:0016020,GO:0022857,GO:0034220,GO:0042221,GO:0042493,GO:0043090,GO:0044464,GO:0045117,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0089709,GO:0089718,GO:0098655,GO:0098656,GO:0098657,GO:0098739,GO:1901474,GO:1902475,GO:1903810,GO:1903825,GO:1905039,GO:1990822		ko:K10016,ko:K10024	ko02010,map02010	M00225,M00226,M00235			ko00000,ko00001,ko00002,ko02000	3.A.1.3.1,3.A.1.3.11		iSbBS512_1146.SbBS512_E2686	Bacteria	1MY2N@1224,1RNYD@1236,3NKCJ@468,COG4215@1,COG4215@2	NA|NA|NA	P	COG4215 ABC-type arginine transport system, permease component
WP_000010453.1	470.IX87_15630	5.1e-156	557.0	Moraxellaceae	comM	GO:0003674,GO:0003824,GO:0004176,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019538,GO:0042623,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564		ko:K07391					ko00000				Bacteria	1MU4R@1224,1RMB9@1236,3NIII@468,COG0606@1,COG0606@2	NA|NA|NA	O	Magnesium chelatase, subunit ChlI
WP_000010636.1	470.IX87_07630	1.1e-215	755.7	Moraxellaceae	mexE			ko:K18901		M00698			ko00000,ko00002,ko01504,ko02000	2.A.6.2,8.A.1			Bacteria	1MU78@1224,1RMI7@1236,3NJHC@468,COG0845@1,COG0845@2	NA|NA|NA	M	Barrel-sandwich domain of CusB or HlyD membrane-fusion
WP_000011145.1	470.IX87_09665	1.4e-234	818.5	Moraxellaceae	lysA	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008836,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016829,GO:0016830,GO:0016831,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046451,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.4.1.129,3.4.16.4,4.1.1.20	ko:K01586,ko:K05366	ko00300,ko00550,ko01100,ko01110,ko01120,ko01130,ko01230,ko01501,map00300,map00550,map01100,map01110,map01120,map01130,map01230,map01501	M00016,M00525,M00526,M00527	R00451	RC00299	ko00000,ko00001,ko00002,ko01000,ko01003,ko01011		GT51	iLJ478.TM1517	Bacteria	1MUA6@1224,1RMI2@1236,3NJND@468,COG0019@1,COG0019@2	NA|NA|NA	E	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine
WP_000011168.1	470.IX87_15755	3.9e-153	547.4	Moraxellaceae	dsbC		5.3.4.1	ko:K03981					ko00000,ko01000,ko02044,ko03110	3.A.7.11.1			Bacteria	1RD39@1224,1S3U8@1236,3NK0T@468,COG1651@1,COG1651@2	NA|NA|NA	O	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process
WP_000011219.1	470.IX87_13955	9.6e-155	552.7	Moraxellaceae	psd		4.1.1.65	ko:K01613	ko00564,ko01100,ko01110,map00564,map01100,map01110	M00093	R02055	RC00299	ko00000,ko00001,ko00002,ko01000				Bacteria	1MVT4@1224,1RN1U@1236,3NIG6@468,COG0688@1,COG0688@2	NA|NA|NA	I	Belongs to the phosphatidylserine decarboxylase family. PSD-B subfamily. Prokaryotic type I sub-subfamily
WP_000011470.1	470.IX87_10390	5.7e-222	776.5	Moraxellaceae	prpF	GO:0003674,GO:0003824,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016853,GO:0016860,GO:0016863,GO:0016999,GO:0017001,GO:0017144,GO:0019541,GO:0019543,GO:0019626,GO:0019629,GO:0019752,GO:0032787,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0046395,GO:0046459,GO:0071704,GO:0072329,GO:1901575		ko:K09788	ko00640,map00640		R11264	RC03405	ko00000,ko00001,ko01000				Bacteria	1MXVV@1224,1RNE6@1236,3NJAW@468,COG2828@1,COG2828@2	NA|NA|NA	S	PrpF protein
WP_000011679.1	470.IX87_02510	3.2e-36	157.1	Moraxellaceae													Bacteria	1Q4UK@1224,1TMSN@1236,2AJGX@1,31A3C@2,3NPAF@468	NA|NA|NA		
WP_000011852.1	575564.HMPREF0014_03391	4.9e-134	484.2	Moraxellaceae													Bacteria	1R4SF@1224,1S2HV@1236,3NMDN@468,COG1413@1,COG1413@2	NA|NA|NA	C	E-Z type HEAT repeats
WP_000011876.1	470.IX87_19160	1.8e-156	558.5	Moraxellaceae	MA20_18170			ko:K07090					ko00000				Bacteria	1MWX2@1224,1S2BC@1236,3NJEI@468,COG0730@1,COG0730@2	NA|NA|NA	S	Sulfite exporter TauE/SafE
WP_000012073.1	470.IX87_21790	8.3e-224	782.7	Moraxellaceae	moeA		2.10.1.1	ko:K03750	ko00790,ko01100,map00790,map01100		R09735	RC03462	ko00000,ko00001,ko01000				Bacteria	1MVD5@1224,1RMQU@1236,3NJX7@468,COG0303@1,COG0303@2	NA|NA|NA	H	Probable molybdopterin binding domain
WP_000013370.1	575564.HMPREF0014_01982	5.5e-215	753.4	Moraxellaceae	pleD			ko:K03413	ko02020,ko02030,map02020,map02030	M00506			ko00000,ko00001,ko00002,ko02022,ko02035				Bacteria	1R7HC@1224,1RYTK@1236,3NT0S@468,COG2199@1,COG3706@2	NA|NA|NA	T	diguanylate cyclase
