# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	13998	14843	-							ABUW_RS00060	846		old_locus_tag=ABUW_0012
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	13998	14843	-	WP_000366393.1	WP_000366393.1		alpha/beta fold hydrolase			ABUW_RS00060	846	281	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	14971	16098	-							ABUW_RS00065	1128		old_locus_tag=ABUW_0013
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	14971	16098	-	WP_001274579.1	WP_001274579.1		anhydro-N-acetylmuramic acid kinase			ABUW_RS00065	1128	375	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	16160	17392	+							ABUW_RS00070	1233		old_locus_tag=ABUW_0014
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	16160	17392	+	WP_000335558.1	WP_000335558.1		tyrosine--tRNA ligase			ABUW_RS00070	1233	410	
gene	rRNA	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	18184	19769	+							ABUW_RS00075	1586		old_locus_tag=ABUW_0015
rRNA		GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	18184	19769	+				16S ribosomal RNA			ABUW_RS00075	1586		
gene	tRNA	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	19828	19904	+							ABUW_RS00080	77		old_locus_tag=ABUW_0016
tRNA		GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	19828	19904	+				tRNA-Ile			ABUW_RS00080	77		anticodon=GAT
gene	tRNA	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	19960	20035	+							ABUW_RS00085	76		old_locus_tag=ABUW_0017
tRNA		GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	19960	20035	+				tRNA-Ala			ABUW_RS00085	76		anticodon=TGC
gene	rRNA	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	20369	23286	+							ABUW_RS00090	2918		old_locus_tag=ABUW_0018
rRNA		GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	20369	23286	+				23S ribosomal RNA			ABUW_RS00090	2918		
gene	rRNA	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	23453	23567	+					rrf		ABUW_RS00095	115		old_locus_tag=ABUW_0019
rRNA		GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	23453	23567	+				5S ribosomal RNA	rrf		ABUW_RS00095	115		
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	23706	24305	+							ABUW_RS00100	600		old_locus_tag=ABUW_0020
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	23706	24305	+	WP_000587889.1	WP_000587889.1		glutathione S-transferase family protein			ABUW_RS00100	600	199	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	24363	25058	-							ABUW_RS00105	696		old_locus_tag=ABUW_0021
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	24363	25058	-	WP_000975745.1	WP_000975745.1		TIGR04219 family outer membrane beta-barrel protein			ABUW_RS00105	696	231	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	25685	27163	+							ABUW_RS00110	1479		old_locus_tag=ABUW_0022
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	25685	27163	+	WP_000132725.1	WP_000132725.1		sodium-dependent transporter			ABUW_RS00110	1479	492	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	27176	27319	+							ABUW_RS00115	144		old_locus_tag=ABUW_0023
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	27176	27319	+	WP_001097630.1	WP_001097630.1		methionine/alanine import family NSS transporter small subunit			ABUW_RS00115	144	47	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	27363	28667	-					rsmB		ABUW_RS00120	1305		old_locus_tag=ABUW_0024
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	27363	28667	-	WP_000084730.1	WP_000084730.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		ABUW_RS00120	1305	434	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	28664	29626	-					fmt		ABUW_RS00125	963		old_locus_tag=ABUW_0025
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	28664	29626	-	WP_000691200.1	WP_000691200.1		methionyl-tRNA formyltransferase	fmt		ABUW_RS00125	963	320	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	29975	31804	+					ilvD		ABUW_RS00130	1830		old_locus_tag=ABUW_0026
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	29975	31804	+	WP_001113590.1	WP_001113590.1		dihydroxy-acid dehydratase	ilvD		ABUW_RS00130	1830	609	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	32118	33407	+							ABUW_RS00135	1290		old_locus_tag=ABUW_0027
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	32118	33407	+	WP_000055250.1	WP_000055250.1		hypothetical protein			ABUW_RS00135	1290	429	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	33510	34217	+							ABUW_RS00140	708		old_locus_tag=ABUW_0028
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	33510	34217	+	WP_010590510.1	WP_010590510.1		sulfite exporter TauE/SafE family protein			ABUW_RS00140	708	235	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	34226	35116	-							ABUW_RS00145	891		old_locus_tag=ABUW_0029
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	34226	35116	-	WP_001209840.1	WP_001209840.1		LysR family transcriptional regulator			ABUW_RS00145	891	296	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	35196	36491	-							ABUW_RS00150	1296		old_locus_tag=ABUW_0030
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	35196	36491	-	WP_000073454.1	WP_000073454.1		pyrimidine permease			ABUW_RS00150	1296	431	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	36792	39476	-					ppc		ABUW_RS00155	2685		old_locus_tag=ABUW_0031
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	36792	39476	-	WP_000250576.1	WP_000250576.1		phosphoenolpyruvate carboxylase	ppc		ABUW_RS00155	2685	894	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	39647	40270	-							ABUW_RS00160	624		old_locus_tag=ABUW_0033
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	39647	40270	-	WP_001195320.1	WP_001195320.1		TetR/AcrR family transcriptional regulator			ABUW_RS00160	624	207	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	40420	41520	+							ABUW_RS00165	1101		old_locus_tag=ABUW_0034
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	40420	41520	+	WP_001050643.1	WP_001050643.1		efflux RND transporter periplasmic adaptor subunit			ABUW_RS00165	1101	366	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	41523	44648	+							ABUW_RS00170	3126		old_locus_tag=ABUW_0035
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	41523	44648	+	WP_000671305.1	WP_000671305.1		efflux RND transporter permease subunit			ABUW_RS00170	3126	1041	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	44788	45165	+							ABUW_RS00175	378		old_locus_tag=ABUW_0036
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	44788	45165	+	WP_000529425.1	WP_000529425.1		hypothetical protein			ABUW_RS00175	378	125	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	45270	46382	+					dnaJ		ABUW_RS00180	1113		old_locus_tag=ABUW_0037
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	45270	46382	+	WP_001119029.1	WP_001119029.1		molecular chaperone DnaJ	dnaJ		ABUW_RS00180	1113	370	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	46497	46847	-							ABUW_RS00185	351		old_locus_tag=ABUW_0038
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	46497	46847	-	WP_000555783.1	WP_000555783.1		hypothetical protein			ABUW_RS00185	351	116	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	47032	47853	+					dapB		ABUW_RS00190	822		old_locus_tag=ABUW_0039
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	47032	47853	+	WP_001271382.1	WP_001271382.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		ABUW_RS00190	822	273	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	47905	48558	+							ABUW_RS00195	654		old_locus_tag=ABUW_0040
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	47905	48558	+	WP_001036017.1	WP_001036017.1		START domain-containing protein			ABUW_RS00195	654	217	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	48599	49789	-							ABUW_RS00200	1191		old_locus_tag=ABUW_0041
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	48599	49789	-	WP_001097146.1	WP_001097146.1		MFS transporter			ABUW_RS00200	1191	396	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	49794	50597	-					dkgB		ABUW_RS00205	804		old_locus_tag=ABUW_0042
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	49794	50597	-	WP_001025227.1	WP_001025227.1		2,5-didehydrogluconate reductase DkgB	dkgB		ABUW_RS00205	804	267	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	50718	51620	+							ABUW_RS00210	903		old_locus_tag=ABUW_0043
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	50718	51620	+	WP_000843074.1	WP_000843074.1		LysR family transcriptional regulator			ABUW_RS00210	903	300	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	51604	51978	-							ABUW_RS00215	375		old_locus_tag=ABUW_0044
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	51604	51978	-	WP_000770098.1	WP_000770098.1		hypothetical protein			ABUW_RS00215	375	124	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	51986	52108	-							ABUW_RS20070	123		
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	51986	52108	-	WP_002009488.1	WP_002009488.1		hypothetical protein			ABUW_RS20070	123	40	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	52069	53493	+							ABUW_RS00220	1425		old_locus_tag=ABUW_0045
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	52069	53493	+	WP_000143937.1	WP_000143937.1		PLP-dependent aminotransferase family protein			ABUW_RS00220	1425	474	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	53496	54524	-							ABUW_RS00225	1029		old_locus_tag=ABUW_0046
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	53496	54524	-	WP_000069845.1	WP_000069845.1		NAD(P)-dependent alcohol dehydrogenase			ABUW_RS00225	1029	342	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	54563	55123	-							ABUW_RS00230	561		old_locus_tag=ABUW_0047
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	54563	55123	-	WP_000857011.1	WP_000857011.1		DNA-3-methyladenine glycosylase I			ABUW_RS00230	561	186	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	55154	55399	-							ABUW_RS00235	246		old_locus_tag=ABUW_0048
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	55154	55399	-	WP_001287365.1	WP_001287365.1		hypothetical protein			ABUW_RS00235	246	81	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	55409	55945	-							ABUW_RS00240	537		old_locus_tag=ABUW_0049
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	55409	55945	-	WP_001252461.1	WP_001252461.1		M23 family metallopeptidase			ABUW_RS00240	537	178	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	55993	57027	-					mutY		ABUW_RS00245	1035		old_locus_tag=ABUW_0050
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	55993	57027	-	WP_001113866.1	WP_001113866.1		A/G-specific adenine glycosylase	mutY		ABUW_RS00245	1035	344	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	57168	57530	-							ABUW_RS00250	363		old_locus_tag=ABUW_0051
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	57168	57530	-	WP_000130110.1	WP_000130110.1		HIT family protein			ABUW_RS00250	363	120	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	57715	58452	-							ABUW_RS00255	738		old_locus_tag=ABUW_0052
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	57715	58452	-	WP_000100767.1	WP_000100767.1		dienelactone hydrolase family protein			ABUW_RS00255	738	245	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	58624	58782	-							ABUW_RS00260	159		old_locus_tag=ABUW_0053
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	58624	58782	-	WP_000490267.1	WP_000490267.1		DUF1328 domain-containing protein			ABUW_RS00260	159	52	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	58977	59435	+							ABUW_RS00265	459		old_locus_tag=ABUW_0054
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	58977	59435	+	WP_000102818.1	WP_000102818.1		YcgN family cysteine cluster protein			ABUW_RS00265	459	152	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	59596	60717	+							ABUW_RS00270	1122		old_locus_tag=ABUW_0055
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	59596	60717	+	WP_001985350.1	WP_001985350.1		PQQ-dependent sugar dehydrogenase			ABUW_RS00270	1122	373	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	60823	62088	+							ABUW_RS00275	1266		old_locus_tag=ABUW_0056
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	60823	62088	+	WP_001285403.1	WP_001285403.1		replication-associated recombination protein A			ABUW_RS00275	1266	421	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	62104	62943	-							ABUW_RS00280	840		old_locus_tag=ABUW_0057
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	62104	62943	-	WP_000349500.1	WP_000349500.1		formate/nitrite transporter family protein			ABUW_RS00280	840	279	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	63229	63432	-							ABUW_RS00285	204		old_locus_tag=ABUW_0058
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	63229	63432	-	WP_000418560.1	WP_000418560.1		hypothetical protein			ABUW_RS00285	204	67	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	63622	64341	-					purC		ABUW_RS00290	720		old_locus_tag=ABUW_0059
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	63622	64341	-	WP_000917863.1	WP_000917863.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC		ABUW_RS00290	720	239	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	64378	64980	-							ABUW_RS00295	603		old_locus_tag=ABUW_0060
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	64378	64980	-	WP_001177091.1	WP_001177091.1		hypothetical protein			ABUW_RS00295	603	200	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	64996	65889	-							ABUW_RS00300	894		old_locus_tag=ABUW_0061
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	64996	65889	-	WP_000193600.1	WP_000193600.1		4-hydroxy-tetrahydrodipicolinate synthase			ABUW_RS00300	894	297	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	66219	66863	+					pncA		ABUW_RS00305	645		old_locus_tag=ABUW_0062
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	66219	66863	+	WP_001985076.1	WP_001985076.1		bifunctional nicotinamidase/pyrazinamidase	pncA		ABUW_RS00305	645	214	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	66918	67856	+							ABUW_RS00310	939		old_locus_tag=ABUW_0063
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	66918	67856	+	WP_001275073.1	WP_001275073.1		bile acid:sodium symporter family protein			ABUW_RS00310	939	312	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	68034	69377	+							ABUW_RS00315	1344		old_locus_tag=ABUW_0064
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	68034	69377	+	WP_001071753.1	WP_001071753.1		MATE family efflux transporter			ABUW_RS00315	1344	447	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	69387	69860	-							ABUW_RS00320	474		old_locus_tag=ABUW_0065
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	69387	69860	-	WP_000924617.1	WP_000924617.1		DUF523 domain-containing protein			ABUW_RS00320	474	157	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	70383	71438	+					hppD		ABUW_RS00325	1056		old_locus_tag=ABUW_0066
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	70383	71438	+	WP_000353163.1	WP_000353163.1		4-hydroxyphenylpyruvate dioxygenase	hppD		ABUW_RS00325	1056	351	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	71503	72282	-							ABUW_RS00330	780		old_locus_tag=ABUW_0067
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	71503	72282	-	WP_000568800.1	WP_000568800.1		IclR family transcriptional regulator			ABUW_RS00330	780	259	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	72582	73130	-							ABUW_RS00335	549		old_locus_tag=ABUW_0068
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	72582	73130	-	WP_000141645.1	WP_000141645.1		VOC family protein			ABUW_RS00335	549	182	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	73148	73780	-					maiA		ABUW_RS00340	633		old_locus_tag=ABUW_0069
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	73148	73780	-	WP_000781235.1	WP_000781235.1		maleylacetoacetate isomerase	maiA		ABUW_RS00340	633	210	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	73767	75074	-					fahA		ABUW_RS00345	1308		old_locus_tag=ABUW_0070
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	73767	75074	-	WP_000435854.1	WP_000435854.1		fumarylacetoacetase	fahA		ABUW_RS00345	1308	435	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	75433	76821	+							ABUW_RS00350	1389		old_locus_tag=ABUW_0071
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	75433	76821	+	WP_000107088.1	WP_000107088.1		amino acid permease			ABUW_RS00350	1389	462	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	76984	77667	+							ABUW_RS00355	684		old_locus_tag=ABUW_0072
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	76984	77667	+	WP_000833249.1	WP_000833249.1		hypothetical protein			ABUW_RS00355	684	227	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	77810	79075	+							ABUW_RS00360	1266		old_locus_tag=ABUW_0073
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	77810	79075	+	WP_000624542.1	WP_000624542.1		GTP-binding protein			ABUW_RS00360	1266	421	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	79110	80222	-							ABUW_RS00365	1113		old_locus_tag=ABUW_0074
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	79110	80222	-	WP_001246958.1	WP_001246958.1		acyltransferase			ABUW_RS00365	1113	370	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	80575	81327	+					hutC		ABUW_RS00370	753		old_locus_tag=ABUW_0075
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	80575	81327	+	WP_001138319.1	WP_001138319.1		histidine utilization repressor	hutC		ABUW_RS00370	753	250	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	81360	81899	+							ABUW_RS00375	540		old_locus_tag=ABUW_0076
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	81360	81899	+	WP_059212314.1	WP_059212314.1		HutD family protein			ABUW_RS00375	540	179	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	82160	83827	+					hutU		ABUW_RS00380	1668		old_locus_tag=ABUW_0077
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	82160	83827	+	WP_000208428.1	WP_000208428.1		urocanate hydratase	hutU		ABUW_RS00380	1668	555	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	83915	85453	+					hutH		ABUW_RS00385	1539		old_locus_tag=ABUW_0078
