Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-451927,"Interleukin-2 family signaling",8,47,0.0032031622708375927,0.0027355214356059587,0.3255270508371091,43,58,0.004474618114488505,9606,Homo sapiens,"1437;6772;6775;3773;2939;3560;2185;3965","","R-HSA-8985929;R-HSA-912527;R-HSA-8983371;R-HSA-452100;R-HSA-508292;R-HSA-8983309;R-HSA-452097;R-HSA-8983374;R-HSA-8983425;R-HSA-8983424;R-HSA-450063;R-HSA-452108;R-HSA-8983299;R-HSA-8983298;R-HSA-8985988;R-HSA-8983300;R-HSA-9006873;R-HSA-508247;R-HSA-8983384;R-HSA-913374;R-HSA-8983378;R-HSA-452122;R-HSA-913424;R-HSA-449115;R-HSA-8985943;R-HSA-9006870;R-HSA-451942;R-HSA-919404;R-HSA-508451;R-HSA-8985900;R-HSA-508513;R-HSA-8985966;R-HSA-8983394;R-HSA-9009700;R-HSA-450027;R-HSA-8983335;R-HSA-5340385;R-HSA-453111;R-HSA-8985981;R-HSA-453104;R-HSA-451900;R-HSA-452091;R-HSA-508282"
R-HSA-1474228,"Degradation of the extracellular matrix",16,148,0.010086553533701356,0.003557573367353073,0.38777549704148495,75,105,0.00810060175898781,9606,Homo sapiens,"7373;4320;9313;4322;1295;92291;1634;3914;1301;3918;4323;4312;999;4316;1308;4318","","R-HSA-1474196;R-HSA-4086205;R-HSA-1604763;R-HSA-1474197;R-HSA-3828025;R-HSA-1564179;R-HSA-1592349;R-HSA-3791295;R-HSA-1604752;R-HSA-1604368;R-HSA-3791155;R-HSA-1602454;R-HSA-1564184;R-HSA-1604360;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-8848658;R-HSA-1458433;R-HSA-2533950;R-HSA-2534206;R-HSA-8940561;R-HSA-1604741;R-HSA-1564169;R-HSA-1604359;R-HSA-1602488;R-HSA-2482180;R-HSA-2168960;R-HSA-2514831;R-HSA-1454781;R-HSA-1602484;R-HSA-1602473;R-HSA-1592362;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2534160;R-HSA-2484882;R-HSA-2168982;R-HSA-2485148;R-HSA-1602466;R-HSA-2537499;R-HSA-2514790;R-HSA-1564117;R-HSA-2534240;R-HSA-1564112;R-HSA-1604690;R-HSA-3827958;R-HSA-2534248;R-HSA-4224014;R-HSA-1564120;R-HSA-1454791;R-HSA-2534260;R-HSA-2533874;R-HSA-1592270;R-HSA-8942302;R-HSA-1605825;R-HSA-375135;R-HSA-8943959;R-HSA-1592316;R-HSA-1604732;R-HSA-1566962;R-HSA-1604350;R-HSA-1604722;R-HSA-2533965;R-HSA-1592436;R-HSA-1454843;R-HSA-1604712;R-HSA-1454822;R-HSA-1592297;R-HSA-2533970;R-HSA-1564143;R-HSA-1564142;R-HSA-2168923"
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",14,126,0.008587200981394398,0.004886394907738123,0.4935258856815504,2,7,5.40040117265854E-4,9606,Homo sapiens,"2246;4496;255324;2894;2100;2099;1839;2065;2263","","R-HSA-2316434;R-HSA-1676082"
R-HSA-190377,"FGFR2b ligand binding and activation",4,14,9.541334423771553E-4,0.005544637431874833,0.5156512811643594,3,3,2.3144576454250888E-4,9606,Homo sapiens,"28984;2246;2263","","R-HSA-5656070;R-HSA-190260;R-HSA-190408"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",14,134,0.0091324200913242,0.008137370331427474,0.6373881409985114,2,10,7.714858818083629E-4,9606,Homo sapiens,"2246;4496;255324;2894;2100;2099;1839;2065;2263","","R-HSA-2316434;R-HSA-1676082"
R-HSA-1592389,"Activation of Matrix Metalloproteinases",6,35,0.002385333605942888,0.008672300286533319,0.6373881409985114,22,27,0.00208301188088258,9606,Homo sapiens,"4320;4322;4323;4312;4316;4318","","R-HSA-1602488;R-HSA-1604763;R-HSA-1592316;R-HSA-1604732;R-HSA-1592349;R-HSA-1604350;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-1604722;R-HSA-1592436;R-HSA-1602484;R-HSA-1602454;R-HSA-1604712;R-HSA-1604360;R-HSA-1592297;R-HSA-1602473;R-HSA-1592362;R-HSA-1605825;R-HSA-1602466;R-HSA-1604741;R-HSA-1604359"
R-HSA-210745,"Regulation of gene expression in beta cells",6,35,0.002385333605942888,0.008672300286533319,0.6373881409985114,4,12,9.257830581700355E-4,9606,Homo sapiens,"3170;6514;389692;3172","","R-HSA-211476;R-HSA-211466;R-HSA-211289;R-HSA-211272"
R-HSA-5654221,"Phospholipase C-mediated cascade; FGFR2",5,25,0.0017038097185306344,0.008731344397239882,0.6373881409985114,3,3,2.3144576454250888E-4,9606,Homo sapiens,"2246;2263","","R-HSA-5654147;R-HSA-5654159;R-HSA-5654157"
R-HSA-1839126,"FGFR2 mutant receptor activation",7,49,0.0033394670483200438,0.012127824293094447,0.6469790232063776,18,18,0.0013886745872550533,9606,Homo sapiens,"2246;2263","","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-2033490;R-HSA-2077424;R-HSA-2033488;R-HSA-8853320;R-HSA-2033486;R-HSA-2077421;R-HSA-2029992;R-HSA-2033479;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-2033474;R-HSA-2029984;R-HSA-2067713;R-HSA-2033472"
R-HSA-1474290,"Collagen formation",11,104,0.007087848429087439,0.016324837966834704,0.6469790232063776,33,77,0.005940441289924395,9606,Homo sapiens,"3914;7373;1301;3918;9313;4322;1295;140766;4316;1308;4318","","R-HSA-8948232;R-HSA-8944266;R-HSA-2002460;R-HSA-8948234;R-HSA-2299620;R-HSA-8948224;R-HSA-8948226;R-HSA-1474266;R-HSA-8948228;R-HSA-8948230;R-HSA-8948231;R-HSA-8944218;R-HSA-1981128;R-HSA-2002440;R-HSA-1980233;R-HSA-1981120;R-HSA-1650808;R-HSA-2002428;R-HSA-8944236;R-HSA-2022073;R-HSA-2213192;R-HSA-8944225;R-HSA-2089971;R-HSA-1981104;R-HSA-2396234;R-HSA-2213201;R-HSA-2213200;R-HSA-8948219;R-HSA-2213205;R-HSA-2152276;R-HSA-8948222;R-HSA-2213207;R-HSA-1981157"
R-HSA-5654727,"Negative regulation of FGFR2 signaling",6,41,0.0027942479383902406,0.017567604096297207,0.6469790232063776,14,14,0.001080080234531708,9606,Homo sapiens,"2246;10253;2263","","R-HSA-1295634;R-HSA-934604;R-HSA-5654677;R-HSA-1295632;R-HSA-1295604;R-HSA-1295609;R-HSA-1549564;R-HSA-1295613;R-HSA-934559;R-HSA-5654562;R-HSA-1295622;R-HSA-1295621;R-HSA-1295599;R-HSA-5654729"
R-HSA-9020933,"Interleukin-23 signaling",3,11,7.496762761534792E-4,0.017984971979353892,0.6469790232063776,12,12,9.257830581700355E-4,9606,Homo sapiens,"51561;6775;2939","","R-HSA-8950780;R-HSA-8950364;R-HSA-8950269;R-HSA-8952749;R-HSA-8950591;R-HSA-8950737;R-HSA-8950724;R-HSA-447130;R-HSA-8950741;R-HSA-8952823;R-HSA-8950583;R-HSA-8950183"
R-HSA-446107,"Type I hemidesmosome assembly",3,11,7.496762761534792E-4,0.017984971979353892,0.6469790232063776,5,6,4.6289152908501776E-4,9606,Homo sapiens,"3914;3918;1308","","R-HSA-446083;R-HSA-432956;R-HSA-446077;R-HSA-432952;R-HSA-446089"
R-HSA-186712,"Regulation of beta-cell development",8,67,0.0045662100456621,0.02012847056696898,0.6469790232063776,6,26,0.0020058632927017436,9606,Homo sapiens,"3170;3280;55534;6514;389692;3172","","R-HSA-1980047;R-HSA-211476;R-HSA-210836;R-HSA-211466;R-HSA-211289;R-HSA-211272"
R-HSA-5654695,"PI-3K cascade:FGFR2",5,31,0.002112724050977987,0.020189097765723973,0.6469790232063776,6,7,5.40040117265854E-4,9606,Homo sapiens,"2246;2263","","R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697"
R-HSA-432047,"Passive transport by Aquaporins",4,21,0.0014312001635657329,0.02147837065510827,0.6469790232063776,4,8,6.171887054466903E-4,9606,Homo sapiens,"3090;112267859;360;361","","R-HSA-507871;R-HSA-507870;R-HSA-507869;R-HSA-507868"
R-HSA-450341,"Activation of the AP-1 family of transcription factors",3,12,8.178286648947046E-4,0.022525366873120234,0.6469790232063776,5,5,3.8574294090418145E-4,9606,Homo sapiens,"2353;5602;3725","","R-HSA-450292;R-HSA-450325;R-HSA-168053;R-HSA-168440;R-HSA-168136"
R-HSA-9020958,"Interleukin-21 signaling",3,12,8.178286648947046E-4,0.022525366873120234,0.6469790232063776,2,5,3.8574294090418145E-4,9606,Homo sapiens,"6772;6775;3773","","R-HSA-9006873;R-HSA-9006870"
R-HSA-5654699,"SHC-mediated cascade:FGFR2",5,33,0.0022490288284604375,0.025510889406695658,0.6469790232063776,4,4,3.0859435272334514E-4,9606,Homo sapiens,"2246;2263","","R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402"
R-HSA-451307,"Activation of Na-permeable kainate receptors",2,5,3.407619437061269E-4,0.0260345236417463,0.6469790232063776,2,2,1.5429717636167257E-4,9606,Homo sapiens,"2898;2897","","R-HSA-451310;R-HSA-451309"
R-HSA-451308,"Activation of Ca-permeable Kainate Receptor",3,13,8.859810536359299E-4,0.02763105334286886,0.6469790232063776,2,2,1.5429717636167257E-4,9606,Homo sapiens,"2898;2259;2897","","R-HSA-451283;R-HSA-451311"
R-HSA-5654700,"FRS-mediated FGFR2 signaling",5,34,0.002317181217201663,0.02847827054345209,0.6469790232063776,9,9,6.943372936275266E-4,9606,Homo sapiens,"2246;2263","","R-HSA-5654615;R-HSA-5654608;R-HSA-5654607;R-HSA-5654399;R-HSA-8941618;R-HSA-5654605;R-HSA-5654397;R-HSA-5654618;R-HSA-5654603"
R-HSA-450282,"MAPK targets/ Nuclear events mediated by MAP kinases",5,35,0.002385333605942888,0.03165548157116005,0.6469790232063776,8,16,0.0012343774108933806,9606,Homo sapiens,"6196;2353;5602;1848;3725","","R-HSA-450292;R-HSA-450325;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-198746;R-HSA-168440;R-HSA-168136"
R-HSA-451306,"Ionotropic activity of kainate receptors",3,14,9.541334423771553E-4,0.033299207727422675,0.6469790232063776,4,4,3.0859435272334514E-4,9606,Homo sapiens,"2898;2259;2897","","R-HSA-451283;R-HSA-451310;R-HSA-451311;R-HSA-451309"
R-HSA-9020558,"Interleukin-2 signaling",3,14,9.541334423771553E-4,0.033299207727422675,0.6469790232063776,14,18,0.0013886745872550533,9606,Homo sapiens,"3773;3560;2185","","R-HSA-451942;R-HSA-919404;R-HSA-452100;R-HSA-508292;R-HSA-508451;R-HSA-508513;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-450027;R-HSA-451900;R-HSA-452122;R-HSA-452091;R-HSA-508282"
R-HSA-210991,"Basigin interactions",4,26,0.0017719621072718598,0.041779459990454626,0.6469790232063776,3,10,7.714858818083629E-4,9606,Homo sapiens,"26287;4099;4312;8140","","R-HSA-375133;R-HSA-375135;R-HSA-375131"
R-HSA-5655253,"Signaling by FGFR2 in disease",7,64,0.004361752879438424,0.042512159894864565,0.6469790232063776,28,28,0.002160160469063416,9606,Homo sapiens,"2246;2263","","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-2033488;R-HSA-8853320;R-HSA-2033486;R-HSA-5655301;R-HSA-5655233;R-HSA-2033479;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-5655241;R-HSA-2033472;R-HSA-2077424;R-HSA-5655268;R-HSA-2077421;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-5655339;R-HSA-2029984"
R-HSA-8984722,"Interleukin-35 Signalling",3,16,0.001090438219859606,0.046291939538449345,0.6469790232063776,23,26,0.0020058632927017436,9606,Homo sapiens,"6772;6775;2939","","R-HSA-8984012;R-HSA-8983983;R-HSA-8984014;R-HSA-8983841;R-HSA-8984001;R-HSA-8983872;R-HSA-8984963;R-HSA-8983845;R-HSA-8984964;R-HSA-8983876;R-HSA-8950405;R-HSA-8983878;R-HSA-8950522;R-HSA-8983835;R-HSA-6809140;R-HSA-8983834;R-HSA-8983996;R-HSA-8983519;R-HSA-8983870;R-HSA-8983518;R-HSA-8984021;R-HSA-8950453;R-HSA-8984023"
R-HSA-1226099,"Signaling by FGFR in disease",9,94,0.006406324541675185,0.047442745802702246,0.6469790232063776,55,106,0.008177750347168647,9606,Homo sapiens,"2246;6772;3773;2263","","R-HSA-2023455;R-HSA-2029983;R-HSA-2023451;R-HSA-5655262;R-HSA-5655263;R-HSA-5654748;R-HSA-1839112;R-HSA-5655233;R-HSA-5655247;R-HSA-5655244;R-HSA-5655245;R-HSA-5655243;R-HSA-5655240;R-HSA-2067713;R-HSA-5655241;R-HSA-5655285;R-HSA-5655295;R-HSA-5655290;R-HSA-5655289;R-HSA-5655270;R-HSA-5655268;R-HSA-5655269;R-HSA-2012074;R-HSA-5655266;R-HSA-2029992;R-HSA-2012073;R-HSA-5655278;R-HSA-2029988;R-HSA-5655277;R-HSA-2029989;R-HSA-2029984;R-HSA-8853319;R-HSA-5655315;R-HSA-8853313;R-HSA-5655326;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-2033488;R-HSA-8853320;R-HSA-2033486;R-HSA-5655301;R-HSA-2033479;R-HSA-1888198;R-HSA-2033474;R-HSA-2033472;R-HSA-1839100;R-HSA-1839098;R-HSA-1839094;R-HSA-2077424;R-HSA-2077421;R-HSA-2077420;R-HSA-5655343;R-HSA-8851710;R-HSA-5655339"
R-HSA-446728,"Cell junction organization",9,94,0.006406324541675185,0.047442745802702246,0.6469790232063776,9,37,0.0028544977626909426,9606,Homo sapiens,"3914;1004;1003;3918;23562;999;55679;1308;9075","","R-HSA-446391;R-HSA-446083;R-HSA-420019;R-HSA-432956;R-HSA-446077;R-HSA-419002;R-HSA-432952;R-HSA-446089;R-HSA-419001"
R-HSA-1660510,"PIPs transport between Golgi and plasma membranes",1,1,6.815238874122537E-5,0.04834097470767884,0.6469790232063776,1,1,7.714858818083629E-5,9606,Homo sapiens,"4496","","R-HSA-1675815"
R-HSA-9009391,"Extra-nuclear estrogen signaling",10,110,0.0074967627615347915,0.050562818176221214,0.6469790232063776,20,38,0.002931646350871779,9606,Homo sapiens,"2259;255324;2353;2100;2099;1839;4316;4318","","R-HSA-9021609;R-HSA-9624272;R-HSA-9632182;R-HSA-9625814;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-9021600;R-HSA-9625465;R-HSA-9634584;R-HSA-202127;R-HSA-9632412;R-HSA-9021596;R-HSA-9021660;R-HSA-9625482;R-HSA-9021072;R-HSA-9021170;R-HSA-9625487;R-HSA-9021079;R-HSA-9027670"
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",4,28,0.0019082668847543107,0.05213329000790434,0.6469790232063776,6,11,8.486344699891992E-4,9606,Homo sapiens,"6772;3773;2939","","R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670413;R-HSA-9670412"
R-HSA-189200,"Cellular hexose transport",4,28,0.0019082668847543107,0.05213329000790434,0.6469790232063776,6,17,0.001311525999074217,9606,Homo sapiens,"200010;154091;6514;155184","","R-HSA-429094;R-HSA-429567;R-HSA-450095;R-HSA-429613;R-HSA-428779;R-HSA-8981574"
R-HSA-190375,"FGFR2c ligand binding and activation",3,17,0.0011585906086008315,0.05359275536826036,0.6469790232063776,2,2,1.5429717636167257E-4,9606,Homo sapiens,"2246;2263","","R-HSA-190258;R-HSA-190413"
R-HSA-1059683,"Interleukin-6 signaling",3,17,0.0011585906086008315,0.05359275536826036,0.6469790232063776,11,19,0.0014658231754358896,9606,Homo sapiens,"6772;2939","","R-HSA-1112514;R-HSA-1067651;R-HSA-1112565;R-HSA-1112727;R-HSA-1067688;R-HSA-1112602;R-HSA-1112538;R-HSA-1112587;R-HSA-1067659;R-HSA-1112604;R-HSA-1067646"
R-HSA-2033519,"Activated point mutants of FGFR2",4,29,0.001976419273495536,0.05778742259981806,0.6469790232063776,10,10,7.714858818083629E-4,9606,Homo sapiens,"2246;2263","","R-HSA-2033486;R-HSA-2029983;R-HSA-2077421;R-HSA-2033479;R-HSA-2033474;R-HSA-2033490;R-HSA-2029984;R-HSA-2077424;R-HSA-2033472;R-HSA-2033488"
R-HSA-8854691,"Interleukin-20 family signaling",4,29,0.001976419273495536,0.05778742259981806,0.6469790232063776,13,56,0.004320320938126832,9606,Homo sapiens,"6772;6775;3773;2939","","R-HSA-8986985;R-HSA-8987080;R-HSA-8987179;R-HSA-8987150;R-HSA-8987266;R-HSA-8987270;R-HSA-8987033;R-HSA-8987097;R-HSA-8987007;R-HSA-8987230;R-HSA-8987218;R-HSA-8987220;R-HSA-8987255"
R-HSA-9006934,"Signaling by Receptor Tyrosine Kinases",40,622,0.04239078579704219,0.059298831592103696,0.6469790232063776,285,701,0.05408116031476624,9606,Homo sapiens,"6196;6772;5125;2353;2099;245972;7060;23767;3914;135;3918;2246;3773;10253;10451;1839;1958;25759;8061;2065;2263;2185;23237;3249;2259;1301;1003;255324;28984;2354;54845;527;2939;5327;1848;4318","","R-HSA-5654614;R-HSA-5654615;R-HSA-8848005;R-HSA-5654612;R-HSA-6785636;R-HSA-5654608;R-HSA-5654622;R-HSA-5654623;R-HSA-5654620;R-HSA-5654618;R-HSA-5654596;R-HSA-5654597;R-HSA-5654594;R-HSA-5654592;R-HSA-203797;R-HSA-6785648;R-HSA-1250315;R-HSA-5654607;R-HSA-5654605;R-HSA-5654603;R-HSA-5654600;R-HSA-1963581;R-HSA-5654646;R-HSA-6803527;R-HSA-5685366;R-HSA-5654647;R-HSA-1250353;R-HSA-1963582;R-HSA-9620663;R-HSA-5654643;R-HSA-1250357;R-HSA-5654640;R-HSA-1963578;R-HSA-5654641;R-HSA-5654655;R-HSA-1470012;R-HSA-5654653;R-HSA-1470010;R-HSA-5654651;R-HSA-1470009;R-HSA-5654631;R-HSA-5654628;R-HSA-1963563;R-HSA-5654625;R-HSA-1250346;R-HSA-5654637;R-HSA-5654634;R-HSA-1250348;R-HSA-5654633;R-HSA-5218830;R-HSA-4420107;R-HSA-8951490;R-HSA-5218820;R-HSA-9613023;R-HSA-5656070;R-HSA-9612483;R-HSA-1250370;R-HSA-5656064;R-HSA-1963589;R-HSA-198746;R-HSA-5218836;R-HSA-1250383;R-HSA-9612493;R-HSA-1963586;R-HSA-1250380;R-HSA-8867047;R-HSA-5654582;R-HSA-9620723;R-HSA-8867044;R-HSA-382054;R-HSA-5654578;R-HSA-8867041;R-HSA-382061;R-HSA-5654591;R-HSA-167019;R-HSA-5654586;R-HSA-5218851;R-HSA-5218850;R-HSA-5654587;R-HSA-5654584;R-HSA-5654566;R-HSA-5654565;R-HSA-5654562;R-HSA-5252133;R-HSA-9612516;R-HSA-5654560;R-HSA-1977958;R-HSA-1977959;R-HSA-5654575;R-HSA-9616105;R-HSA-5654573;R-HSA-9616110;R-HSA-5654571;R-HSA-5654569;R-HSA-109699;R-HSA-5654224;R-HSA-1251992;R-HSA-1250463;R-HSA-1250462;R-HSA-187020;R-HSA-934559;R-HSA-167056;R-HSA-5654222;R-HSA-5654734;R-HSA-5654730;R-HSA-5654729;R-HSA-9621042;R-HSA-1250486;R-HSA-8941613;R-HSA-9621048;R-HSA-1497784;R-HSA-8941628;R-HSA-9621035;R-HSA-9621032;R-HSA-8941618;R-HSA-182969;R-HSA-8863804;R-HSA-8941623;R-HSA-5654679;R-HSA-5654167;R-HSA-934604;R-HSA-5654677;R-HSA-5654165;R-HSA-5654163;R-HSA-5654672;R-HSA-5654673;R-HSA-182986;R-HSA-5654684;R-HSA-182990;R-HSA-182988;R-HSA-5654169;R-HSA-182994;R-HSA-5654662;R-HSA-5654151;R-HSA-5654663;R-HSA-74448;R-HSA-5654148;R-HSA-182993;R-HSA-5654149;R-HSA-5654658;R-HSA-199895;R-HSA-5654659;R-HSA-5654147;R-HSA-8874079;R-HSA-183002;R-HSA-5654159;R-HSA-5654669;R-HSA-5654157;R-HSA-5654667;R-HSA-5654664;R-HSA-212706;R-HSA-5654709;R-HSA-212710;R-HSA-5654705;R-HSA-1295604;R-HSA-212713;R-HSA-1295609;R-HSA-5654717;R-HSA-1549564;R-HSA-5654714;R-HSA-1295613;R-HSA-5654692;R-HSA-5654690;R-HSA-5654701;R-HSA-8847995;R-HSA-1295599;R-HSA-183036;R-HSA-5654697;R-HSA-177922;R-HSA-9613202;R-HSA-177923;R-HSA-1295634;R-HSA-1295632;R-HSA-177926;R-HSA-177927;R-HSA-9613207;R-HSA-177924;R-HSA-177925;R-HSA-177930;R-HSA-9613210;R-HSA-183051;R-HSA-1433374;R-HSA-177934;R-HSA-177935;R-HSA-183055;R-HSA-177933;R-HSA-187661;R-HSA-177938;R-HSA-183058;R-HSA-177939;R-HSA-177936;R-HSA-9612672;R-HSA-177937;R-HSA-177942;R-HSA-177943;R-HSA-1295622;R-HSA-1295621;R-HSA-177941;R-HSA-9621386;R-HSA-183067;R-HSA-6803838;R-HSA-177944;R-HSA-1247497;R-HSA-177945;R-HSA-9621385;R-HSA-6803836;R-HSA-6800198;R-HSA-183072;R-HSA-190245;R-HSA-5654399;R-HSA-5654397;R-HSA-183084;R-HSA-5654392;R-HSA-6800200;R-HSA-190258;R-HSA-9613219;R-HSA-190256;R-HSA-183089;R-HSA-167217;R-HSA-190263;R-HSA-190260;R-HSA-190261;R-HSA-190265;R-HSA-9031624;R-HSA-9031616;R-HSA-1306969;R-HSA-1306972;R-HSA-1306953;R-HSA-1433418;R-HSA-5686071;R-HSA-1433456;R-HSA-380782;R-HSA-1306979;R-HSA-190326;R-HSA-202111;R-HSA-9616367;R-HSA-202110;R-HSA-1433451;R-HSA-1250195;R-HSA-202127;R-HSA-202129;R-HSA-202137;R-HSA-1250189;R-HSA-202144;R-HSA-8951586;R-HSA-190385;R-HSA-190388;R-HSA-9612073;R-HSA-1236398;R-HSA-1250220;R-HSA-5654422;R-HSA-5654423;R-HSA-5654418;R-HSA-1358801;R-HSA-5654416;R-HSA-5654428;R-HSA-190408;R-HSA-434637;R-HSA-5654426;R-HSA-190413;R-HSA-5654425;R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-1358790;R-HSA-5357445;R-HSA-5654402;R-HSA-8954207;R-HSA-190427;R-HSA-1358798;R-HSA-5654413;R-HSA-1358792;R-HSA-5654408;R-HSA-5654409;R-HSA-190429;R-HSA-8954199;R-HSA-1254386;R-HSA-74723;R-HSA-8954208;R-HSA-1254392;R-HSA-9619838;R-HSA-9612671;R-HSA-5357472;R-HSA-5357477;R-HSA-5357483"
